???????,????????????,,,,,,,,,
Temp(C),Time(s),Raw_ADC,Voltage(V),Temp(C),,,,,,
20,0,21189,1.067,21.04,,,,,,
20,1,20805,1.0476,20.77,,,,,,
20,2,20949,1.0549,20.87,,,,,,
20,4,14851,0.7478,20,,,,,,
20,5,20917,1.0533,20.85,,,,,,
20,6,20533,1.0339,20.57,,,,,,
20,7,21061,1.0605,20.95,,,,,,
20,8,21333,1.0742,21.15,,,,,,
20,9,19140,0.9638,20,,,,,,
20,10,20052,1.0097,20.23,,,,,,
20,11,20100,1.0121,20.26,,,,,,
20,12,21061,1.0605,20.95,,,,,,
20,13,24517,1.2345,23.43,,,,,,
20,14,24085,1.2128,23.12,,,,,,
20,15,21445,1.0799,21.23,,,,,,
20,16,21461,1.0807,21.24,,,,,,
20,17,21445,1.0799,21.23,,,,,,
20,18,19652,0.9896,20,,,,,,
20,19,19780,0.996,20.03,,,,,,
20,20,18916,0.9525,20,,,,,,
20,21,22757,1.1459,22.17,,,,,,
20,22,24133,1.2152,23.16,,,,,,
20,23,16980,0.855,20,,,,,,
20,25,21477,1.0815,21.25,,,,,,
20,26,21653,1.0903,21.38,,,,,,
20,27,21669,1.0911,21.39,,,,,,
20,28,22101,1.1129,21.7,,,,,,
20,29,21589,1.0871,21.33,,,,,,
20,30,23413,1.179,22.64,,,,,,
20,31,22933,1.1548,22.3,,,,,,
20,32,22549,1.1354,22.02,,,,,,
20,33,20565,1.0355,20.6,,,,,,
20,34,22869,1.1516,22.25,,,,,,
20,35,22853,1.1508,22.24,,,,,,
20,37,22821,1.1491,22.22,,,,,,
20,38,22085,1.1121,21.69,,,,,,
20,39,23461,1.1814,22.67,,,,,,
20,40,23893,1.2031,22.98,,,,,,
20,41,21173,1.0662,21.03,,,,,,
20,42,22485,1.1322,21.97,,,,,,
20,43,22373,1.1266,21.89,,,,,,
20,44,22021,1.1089,21.64,,,,,,
20,45,23445,1.1806,22.66,,,,,,
20,46,27398,1.3796,25.5,,,,,,
20,47,22245,1.1201,21.8,,,,,,
20,48,23125,1.1645,22.43,,,,,,
20,50,23701,1.1935,22.85,,,,,,
20,51,22501,1.133,21.99,,,,,,
20,52,23621,1.1894,22.79,,,,,,
20,53,21173,1.0662,21.03,,,,,,
20,54,22533,1.1346,22.01,,,,,,
20,55,24838,1.2507,23.66,,,,,,
20,56,24037,1.2104,23.09,,,,,,
20,57,22581,1.1371,22.04,,,,,,
20,58,24069,1.212,23.11,,,,,,
20,59,21861,1.1008,21.53,,,,,,
20,60,21189,1.067,21.04,,,,,,
20,62,22197,1.1177,21.77,,,,,,
20,63,24165,1.2168,23.18,,,,,,
20,64,24774,1.2475,23.62,,,,,,
20,65,25382,1.2781,24.05,,,,,,
20,66,23173,1.1669,22.47,,,,,,
20,67,24565,1.237,23.47,,,,,,
20,68,24245,1.2209,23.24,,,,,,
20,69,27702,1.3949,25.72,,,,,,
20,70,24598,1.2386,23.49,,,,,,
20,71,25062,1.262,23.82,,,,,,
20,72,24902,1.2539,23.71,,,,,,
20,74,25318,1.2749,24.01,,,,,,
20,75,25254,1.2717,23.96,,,,,,
20,76,25926,1.3055,24.44,,,,,,
20,77,25302,1.2741,24,,,,,,
20,78,25238,1.2709,23.95,,,,,,
20,79,25126,1.2652,23.87,,,,,,
20,80,23813,1.1991,22.93,,,,,,
20,81,24181,1.2176,23.19,,,,,,
20,82,29623,1.4917,27.1,,,,,,
20,83,25222,1.27,23.94,,,,,,
20,84,22837,1.15,22.23,,,,,,
20,86,26422,1.3305,24.8,,,,,,
25,87,26662,1.3426,24.97,,,,,,
25,88,27350,1.3772,25.47,,,,,,
25,89,26774,1.3482,25.05,,,,,,
25,90,27030,1.3611,25.24,,,,,,
25,91,30439,1.5327,27.68,,,,,,
25,92,27110,1.3651,25.29,,,,,,
25,93,29735,1.4973,27.18,,,,,,
25,94,27574,1.3885,25.63,,,,,,
25,95,26806,1.3498,25.07,,,,,,
25,97,25878,1.3031,24.41,,,,,,
25,98,22693,1.1427,22.12,,,,,,
25,99,25654,1.2918,24.25,,,,,,
25,100,28278,1.4239,26.13,,,,,,
25,101,27574,1.3885,25.63,,,,,,
25,102,27974,1.4086,25.91,,,,,,
25,103,28326,1.4263,26.17,,,,,,
25,104,28598,1.44,26.36,,,,,,
25,105,27526,1.3861,25.59,,,,,,
25,106,27014,1.3603,25.22,,,,,,
25,107,27526,1.3861,25.59,,,,,,
25,109,28903,1.4554,26.58,,,,,,
25,110,26310,1.3248,24.72,,,,,,
25,111,30759,1.5489,27.91,,,,,,
25,112,29239,1.4723,26.82,,,,,,
25,113,26630,1.3409,24.95,,,,,,
25,114,29239,1.4723,26.82,,,,,,
25,115,29799,1.5005,27.22,,,,,,
25,116,31431,1.5827,28.39,,,,,,
25,117,27222,1.3708,25.37,,,,,,
25,118,29463,1.4836,26.98,,,,,,
25,119,29783,1.4997,27.21,,,,,,
25,121,28903,1.4554,26.58,,,,,,
25,122,33208,1.6722,29.67,,,,,,
25,123,30423,1.5319,27.67,,,,,,
25,124,32183,1.6206,28.93,,,,,,
25,125,31767,1.5996,28.63,,,,,,
25,126,30231,1.5223,27.53,,,,,,
25,127,31127,1.5674,28.18,,,,,,
25,128,27206,1.37,25.36,,,,,,
25,129,31191,1.5706,28.22,,,,,,
25,130,31207,1.5714,28.23,,,,,,
25,132,26774,1.3482,25.05,,,,,,
25,133,30407,1.5311,27.66,,,,,,
25,134,31111,1.5666,28.16,,,,,,
25,135,32391,1.631,29.08,,,,,,
25,136,27462,1.3828,25.55,,,,,,
25,137,33816,1.7028,30.1,,,,,,
25,138,32055,1.6141,28.84,,,,,,
25,139,31415,1.5819,28.38,,,,,,
25,140,32087,1.6157,28.86,,,,,,
25,141,29863,1.5037,27.27,,,,,,
25,142,34312,1.7278,30.46,,,,,,
25,144,26982,1.3587,25.2,,,,,,
30,145,33848,1.7044,30.13,,,,,,
30,146,35432,1.7842,31.26,,,,,,
30,147,40905,2.0598,35.19,,,,,,
30,148,33704,1.6972,30.02,,,,,,
30,149,34360,1.7302,30.5,,,,,,
30,150,33816,1.7028,30.1,,,,,,
30,151,36280,1.8269,31.87,,,,,,
30,152,34456,1.735,30.56,,,,,,
30,153,34088,1.7165,30.3,,,,,,
30,155,34408,1.7326,30.53,,,,,,
30,156,38665,1.947,33.58,,,,,,
30,157,35336,1.7793,31.2,,,,,,
30,158,31927,1.6077,28.75,,,,,,
30,159,35256,1.7753,31.14,,,,,,
30,160,35464,1.7858,31.29,,,,,,
30,161,40970,2.063,35.24,,,,,,
30,162,36552,1.8406,32.07,,,,,,
30,163,39881,2.0082,34.46,,,,,,
30,164,36440,1.8349,31.99,,,,,,
30,166,36889,1.8575,32.31,,,,,,
30,167,34008,1.7125,30.24,,,,,,
30,168,36889,1.8575,32.31,,,,,,
30,169,37289,1.8777,32.6,,,,,,
30,170,29287,1.4747,26.86,,,,,,
30,171,38921,1.9599,33.77,,,,,,
30,172,38121,1.9196,33.19,,,,,,
30,173,44378,2.2346,37.68,,,,,,
30,174,37257,1.8761,32.57,,,,,,
30,175,40105,2.0195,34.62,,,,,,
30,177,38281,1.9276,33.31,,,,,,
30,178,37977,1.9123,33.09,,,,,,
30,179,37785,1.9027,32.95,,,,,,
30,180,40153,2.0219,34.65,,,,,,
30,181,38153,1.9212,33.22,,,,,,
30,182,43594,2.1952,37.12,,,,,,
30,183,46011,2.3169,38.86,,,,,,
30,184,46411,2.337,39.14,,,,,,
30,185,46667,2.3499,39.33,,,,,,
30,186,45403,2.2863,38.42,,,,,,
30,187,43034,2.167,36.72,,,,,,
30,189,39497,1.9889,34.18,,,,,,
30,190,41866,2.1082,35.88,,,,,,
30,191,40249,2.0267,34.72,,,,,,
30,192,39721,2.0001,34.34,,,,,,
30,193,40953,2.0622,35.23,,,,,,
30,194,39817,2.005,34.41,,,,,,
35,195,40665,2.0477,35.02,,,,,,
35,196,40745,2.0517,35.08,,,,,,
35,197,38889,1.9582,33.75,,,,,,
35,198,44394,2.2354,37.7,,,,,,
35,199,40297,2.0291,34.76,,,,,,
35,200,35752,1.8003,31.49,,,,,,
35,202,45387,2.2855,38.41,,,,,,
35,203,40681,2.0485,35.03,,,,,,
35,204,41066,2.0679,35.31,,,,,,
35,205,41146,2.0719,35.36,,,,,,
35,206,43754,2.2032,37.24,,,,,,
35,207,42266,2.1283,36.17,,,,,,
35,208,42186,2.1243,36.11,,,,,,
35,209,44426,2.2371,37.72,,,,,,
35,210,42298,2.1299,36.19,,,,,,
35,211,42506,2.1404,36.34,,,,,,
35,212,37673,1.897,32.87,,,,,,
35,213,37097,1.868,32.46,,,,,,
35,215,36776,1.8518,32.23,,,,,,
35,216,39241,1.976,34,,,,,,
35,217,40393,2.034,34.82,,,,,,
35,218,42842,2.1573,36.58,,,,,,
35,219,37801,1.9035,32.96,,,,,,
35,220,44362,2.2338,37.67,,,,,,
35,221,37689,1.8978,32.88,,,,,,
35,222,43354,2.1831,36.95,,,,,,
35,223,41914,2.1106,35.92,,,,,,
35,224,45002,2.2661,38.13,,,,,,
35,225,41866,2.1082,35.88,,,,,,
35,226,43962,2.2137,37.39,,,,,,
35,227,49164,2.4756,41.12,,,,,,
35,229,46171,2.3249,38.97,,,,,,
35,230,47067,2.37,39.61,,,,,,
35,231,45771,2.3048,38.68,,,,,,
35,232,45211,2.2766,38.28,,,,,,
35,233,42682,2.1492,36.47,,,,,,
35,234,45547,2.2935,38.52,,,,,,
35,235,38169,1.922,33.23,,,,,,
35,236,53020,2.6698,43.88,,,,,,
35,237,46411,2.337,39.14,,,,,,
35,238,45579,2.2951,38.55,,,,,,
35,239,44426,2.2371,37.72,,,,,,
35,240,48923,2.4635,40.94,,,,,,
35,242,45883,2.3104,38.76,,,,,,
35,243,47387,2.3862,39.84,,,,,,
35,244,46859,2.3596,39.46,,,,,,
35,245,47771,2.4055,40.12,,,,,,
35,246,45963,2.3145,38.82,,,,,,
35,247,45515,2.2919,38.5,,,,,,
40,248,47979,2.416,40.27,,,,,,
40,249,49180,2.4764,41.13,,,,,,
40,250,48059,2.42,40.33,,,,,,
40,251,47755,2.4047,40.11,,,,,,
40,252,47387,2.3862,39.84,,,,,,
40,254,49676,2.5014,41.49,,,,,,
40,255,48523,2.4434,40.66,,,,,,
40,256,48683,2.4514,40.77,,,,,,
40,257,49260,2.4805,41.19,,,,,,
40,258,51964,2.6166,43.13,,,,,,
40,259,50140,2.5248,41.82,,,,,,
40,260,48379,2.4361,40.55,,,,,,
40,261,49996,2.5175,41.71,,,,,,
40,262,49820,2.5087,41.59,,,,,,
40,263,50540,2.5449,42.11,,,,,,
40,264,50604,2.5482,42.15,,,,,,
40,265,52876,2.6626,43.78,,,,,,
40,267,50236,2.5296,41.89,,,,,,
40,268,49628,2.499,41.45,,,,,,
40,269,50668,2.5514,42.2,,,,,,
40,270,47563,2.395,39.97,,,,,,
40,271,52252,2.6311,43.33,,,,,,
40,272,50988,2.5675,42.43,,,,,,
40,273,38409,1.9341,33.4,,,,,,
40,274,59214,2.9817,48.33,,,,,,
40,275,50108,2.5232,41.8,,,,,,
40,276,47579,2.3958,39.98,,,,,,
40,277,53036,2.6706,43.9,,,,,,
40,279,50508,2.5433,42.08,,,,,,
40,280,52508,2.644,43.52,,,,,,
40,281,53261,2.6819,44.06,,,,,,
40,282,51052,2.5707,42.47,,,,,,
40,283,52908,2.6642,43.8,,,,,,
40,284,53341,2.686,44.12,,,,,,
40,285,47851,2.4095,40.18,,,,,,
40,286,53036,2.6706,43.9,,,,,,
40,287,53212,2.6795,44.02,,,,,,
40,288,46411,2.337,39.14,,,,,,
40,289,56909,2.8656,46.68,,,,,,
40,291,54061,2.7222,44.63,,,,,,
40,292,54317,2.7351,44.82,,,,,,
40,293,54413,2.74,44.88,,,,,,
45,294,55901,2.8149,45.95,,,,,,
45,295,54541,2.7464,44.98,,,,,,
45,296,54301,2.7343,44.8,,,,,,
45,297,56205,2.8302,46.17,,,,,,
45,298,54669,2.7528,45.07,,,,,,
45,299,56125,2.8262,46.11,,,,,,
45,300,55709,2.8052,45.81,,,,,,
45,301,57245,2.8826,46.92,,,,,,
45,303,63343,3.1896,50,,,,,,
45,304,49756,2.5055,41.54,,,,,,
45,305,46171,2.3249,38.97,,,,,,
45,306,55949,2.8173,45.99,,,,,,
45,307,63247,3.1848,50,,,,,,
45,308,53052,2.6714,43.91,,,,,,
45,309,56285,2.8342,46.23,,,,,,
45,310,56957,2.8681,46.71,,,,,,
45,311,48315,2.4329,40.51,,,,,,
45,312,60430,3.0429,49.2,,,,,,
45,314,61150,3.0792,49.72,,,,,,
45,315,55597,2.7996,45.73,,,,,,
45,316,57293,2.885,46.95,,,,,,
45,317,57838,2.9124,47.34,,,,,,
45,318,57486,2.8947,47.09,,,,,,
45,319,57646,2.9028,47.2,,,,,,
45,320,59182,2.9801,48.31,,,,,,
45,321,60238,3.0333,49.06,,,,,,
45,322,58382,2.9398,47.73,,,,,,
45,323,59902,3.0164,48.82,,,,,,
45,324,62495,3.1469,50,,,,,,
45,326,58846,2.9632,48.07,,,,,,
45,327,58830,2.9624,48.05,,,,,,
45,328,58926,2.9672,48.12,,,,,,
45,329,59070,2.9745,48.23,,,,,,
45,330,53933,2.7158,44.54,,,,,,
45,331,65535,3.3,50,,,,,,
45,332,65535,3.3,50,,,,,,
45,333,63759,3.2106,50,,,,,,
45,334,60238,3.0333,49.06,,,,,,
45,335,60654,3.0542,49.36,,,,,,
45,336,55837,2.8117,45.91,,,,,,
45,338,63279,3.1864,50,,,,,,
45,339,60686,3.0558,49.39,,,,,,
45,340,54557,2.7472,44.99,,,,,,
45,341,60942,3.0687,49.57,,,,,,
50,342,61118,3.0776,49.7,,,,,,
50,343,62159,3.13,50,,,,,,
50,344,62031,3.1236,50,,,,,,
50,345,64575,3.2517,50,,,,,,
50,346,62991,3.1719,50,,,,,,
50,347,59454,2.9938,48.5,,,,,,
50,349,62095,3.1268,50,,,,,,
50,350,65535,3.3,50,,,,,,
50,351,62543,3.1493,50,,,,,,
50,352,59950,3.0188,48.86,,,,,,
50,353,63215,3.1832,50,,,,,,
50,354,61919,3.1179,50,,,,,,
50,355,65391,3.2927,50,,,,,,
50,356,65535,3.3,50,,,,,,
50,357,63855,3.2154,50,,,,,,
50,358,63071,3.1759,50,,,,,,
50,360,63583,3.2017,50,,,,,,
50,361,63183,3.1816,50,,,,,,
50,362,61198,3.0816,49.75,,,,,,
50,363,63823,3.2138,50,,,,,,
50,364,63407,3.1928,50,,,,,,
50,365,60766,3.0599,49.44,,,,,,
50,366,62031,3.1236,50,,,,,,
50,367,63631,3.2041,50,,,,,,
50,368,63327,3.1888,50,,,,,,
50,369,63471,3.1961,50,,,,,,
